Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testAsyncEndEvent,UD,MovedOrRenamed,,https://github.com/Activiti/Activiti/commit/c04f27c338d87c72fbebfea9b72ec76e93cccded
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest.doPost,ID,Accepted,https://github.com/adobe/asset-share-commons/pull/672,issue: https://github.com/adobe/asset-share-commons/issues/673
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681, A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
https://github.com/akamai/netty,cee60304dea4eeb779aa60af08332b1a965de984,testsuite,io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho,ID,,,
https://github.com/alibaba/asyncload,9891e7086bff81ebdd4991435d21b549e48e874d,.,com.alibaba.asyncload.AsyncLoadThreadLocalTest.testInheritableThreadLocalRunnerSet,OD-Vic,,,
https://github.com/alibaba/easyexcel,756f16e42fbd7bc5c7fa18426cbc02fc81a42057,.,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t03SynchronousRead07,OD,Accepted,https://github.com/alibaba/easyexcel/pull/1684,
https://github.com/alibaba/innodb-java-reader,24a95d8005d480d460c3004fad89cfa295b9cbb4,innodb-java-reader,com.alibaba.innodb.java.reader.sk.SimpleSkTableReaderTest.testQueryAllIteratorMysql56,ID,Accepted,https://github.com/alibaba/innodb-java-reader/pull/14,
https://github.com/alibaba/metrics,2dbfbd0b2e9ba5d652f1f2e86d655cff8ea1ec66,prometheus,com.alibaba.metrics.prometheus.TestAlibabaMetricsExports.testExportFastCompass,ID,Accepted,https://github.com/alibaba/metrics/pull/74,
https://github.com/alibaba/nacos,525672272ecb00cd769a13c7b21a8e51cf873f25,api,com.alibaba.nacos.api.naming.pojo.healthcheck.HealthCheckerFactoryTest.testDeserializeExtend,OD-Vic,Accepted,https://github.com/alibaba/nacos/pull/4384,
https://github.com/alibaba/tamper,781c159496991705e273fb8538024dfa687235a5,.,com.alibaba.tamper.ConfigTest.testFileParse,ID,,,
https://github.com/alibaba/wasp,b2593d8e4b31ca6da0cd2f3e18356338d9b6dace,.,com.alibaba.wasp.client.TestAdmin,ID,,,
https://github.com/Alluxio/alluxio,68fcda9dd2ca2181eb897e10ca02fa5bc3a3099f,core/server/worker,alluxio.worker.block.allocator.GreedyAllocatorTest.allocateBlock,ID,,,
https://github.com/amzn/amazon-instant-access-sdk-java,3aae2253569751eaa4c419300cf9915f03a42bf1,.,com.amazon.dtasdk.v2.serialization.messages.InstantAccessRequestTest.testSerialize,ID,Opened,https://github.com/amzn/amazon-instant-access-sdk-java/pull/13,
https://github.com/amzn/amazon-pay-api-sdk-java,4093fc0ddca8e410764919f587a2e984246d5dc1,.,com.amazon.pay.api.GenerateButtonSignatureTest.testButtonSignatureWithJSONObject,ID,,,
